storyText,choice1,choice2,choice3,result1,result2,result3,money1,money2,money3,health1,health2,health3
"나는 OO시에 살고 있는 두 아이의 엄마다. 6년 전 둘째를 낳고 얼마 안돼서 직장을 그만 두었고, 지금까지 육아와 집안일을 도맡고 있다. 이제 둘째도 어느정도 컸고 일을 다시 시작하고 싶은데.. 혼자 취업 준비를 시작하자니 엄두가 나질 않는다. 아이들을 키우는 지난 6년 동안 해온 것이 있을까?",아이 돌봄과 살림에만 집중했다.,"온라인 강좌를 수강하며, 자격증 공부를 육아와 병행했다.","육아를 하며 블로그, SNS로 일상을 기록하며 보냈다.","이력서를 펼쳐보자 지난 공백이 선명하게 드러났고, 구직에 대한 자신감이 많이 떨어져 갔다.","체력적으로 많이 힘들었지만, 육아 틈틈이 스마트폰으로 강의를 들었었다. 아직 경력의 공백을 완전히 채울 순 없지만, 그래도 뭐라도 채워져 있으니 조금은 안심된다.","아기의 성장일기, 살림 노하우 등등을 기록했고, 어느 날 한 육아 브랜드에서 협업 제안을 받아 경제적으로 많은 지원을 받게 되었다.",4,5,2,3,2,5
구직 사이트에 이력서를 등록해야 한다.,이력서 컨설팅 서비스를 이용한다.,6년 전 이력서를 그대로 올란다.,이력서를 혼자서 새로 작성한다.,"컨설턴트를 만나 다시 이력서를 작성해보았다. 확실히 전문가가 있으니, 별 볼일 없어 보이는 내 이력서가 조금은 그럴싸해 보이는 것 같다.",6년 전에는 그래도 여러 곳에 서류 합격을 한 이력서이니 믿고 그대로 사용한다.,아이들을 재우고 밤마다 이력서를 다시 다듬었다. 최신 양식과 추가된 내용들도 업데이트 하며 피곤한 하루하루를 보냈다.,-2,0,-1,2,-1,0
"이력서를 더 보강하기 위해 자기계발을 해야할 것 같은데, 시간이 많이 부족하다.",그래도 틈틈이 학원을 다니며 자격증을 취득한다.,"저렴한 온라인 강의를 찾아 집에서 공부하고, 자격증을 취득한다.",아직은 육아와 살림을 내가 도맡아야하므로 자기계발은 다음에 한다.,"가족의 도움 덕에 수업을 들을 수 있었고, 어렵게 자격증도 땄다. 현장에 바로 적용은 어렵지만 면접에서 큰 무기가 되었다.","경제적 부담은 적었지만, 혼자 공부하는 데 한계가 있었다. 그래도 노력의 흔적이 남아 스스로 뿌듯했다.",시간이 지날수록 “나만 뒤처지고 있는 건 아닐까”라는 불안이 쌓였다. 동시에 죄책감도 커져갔다.,4,5,2,3,2,5
다행히 한 기업에서 면접 제의가 왔다. 하지만 그 날 아이들 케어는 누구에게 맡겨야 할까?,하루동안 시터를 고용한다.,부모님께 연락해 부탁드린다.,동네에 있는 아이 돌봄 시설에 맡긴다.,"시터비는 예상보다 높았지만, 면접에 집중할 수 있어 좋았다. 하지만 경제적 부담이 크게 느껴졌다.","부모님도 일정이 있었지만, 부탁드려 해결됐다. 하지만 의존에 대한 미안함과 부채감이 남았다.",낯선 환경에 적응 못한 아이가 울음을 터뜨렸다. 면접 내내 마음이 불편했다.,-2,0,-1,2,-1,0
면접에서 육아 기간 동안의 공백기에 대해 질문이 들어왔다.,진솔하게 답변하며 가사노동에 대한 가치를 설명한다.,답변을 최대한 회피하려 해본다.,불쾌감을 표현한다.,"면접관 일부는 공감했고, 또 일부는 고개를 갸웃거렸다. 평가 결과는 엇갈렸다.","딱히 부정적인 반응은 없었지만, 진정성도 전달되지 않은 듯했다.","분위기가 싸늘해졌다. 이후 추가 질문은 없었고, 결과도 불합격이었다.",4,5,2,3,2,5
주변 지인으로 부터 직업훈련 기관에서 훈련 받을 것을 제안받았다.,기관에서 훈련받는 것을 수락한다.,일단 대기 명단에만 등록한다.,참여하지 않는다.,"처음엔 낯설고 어렵지만, 점차 실력을 키우며 재취업에 한 걸음 다가갔다.",등록 후 연락이 없어 흐지부지 잊혔다. 본인도 의지를 다지지 못했다.,시간이 지날수록 “괜히 안 했나?” 하는 후회가 찾아왔다. 다시 시작하기가 더 어려워졌다.,-2,0,-1,2,-1,0
"집안일에 신경을 못쓰다보니 남편과 갈등이 생겼다. 아이들 케어와 집안일이 제대로 이루어지지 못하고 있어, 제대로된 대화가 필요한 것 같다.",남편도 바쁜걸 알기에 꾹 참고 집안일에 좀 더 신경쓰기로 한다.,감정을 털어놓고 진솔한 대화를 나누며 남편과 집안일 분담을 한다.,가사 도우미를 채용한다.,"갈등은 줄었지만, 내면의 스트레스는 점점 쌓였다. 결국 몸살까지 왔다.","대화는 처음엔 어색했지만, 이후 가사 분담표를 함께 만들며 변화가 시작됐다.","경제적 부담은 있었지만, 스트레스는 많이 줄었다. 아이들과 보내는 시간도 늘어났다.",4,5,2,3,2,5
"아이를 재운 밤, 혼자 앉아 갑작스러운 공허감이 몰려온다.",조용히 울다가 혼자 다이어리를 쓰며 마음을 정리한다.,인터넷에서 정신건강 상담에 대해 알아본다.,한동안 구직 활동을 쉰다.,감정이 정돈되며 다음날에 대한 의욕이 조금 생겼다. 글쓰기는 스스로를 돌아보는 힘이 되었다.,"무료 상담 프로그램을 발견하고, 상담을 예약했다. 일상을 되돌아볼 기회가 되었다.","방치된 채 시간이 흘렀고, 다시 일어서는 데 더 큰 에너지가 필요했다.",-2,0,-1,2,-1,0
지인 추천으로 한 중소기업에 계약직으로 입사할 수 있는 기회가 들어왔다.,바로 시작하며 실무 적응에 집중한다.,반나절 단기근무로 협의해 일을 시작한다.,더 나은 기회를 기다리기로 하고 거절한다.,"빠르게 업무에 익숙해졌고, 자신감도 생겼다. 하지만 체력은 한계였다.",체력은 유지할 수 있었지만 수입이 적었다. 일과 생활의 균형은 조금 더 안정됐다.,"지원서를 넣었지만 결과는 없었고, 몇 주간의 무직 기간이 이어졌다. 판단이 맞았는지는 모르겠다.",4,5,2,3,2,5
"6개월 동안 육아와 살림, 일을 병행하며 힘들게 버텨왔다. 보람은 있었지만, 몸은 너무 피로해진 상태다. 그러던 와중 정규직 전환 제의가 들어왔다. 어떻게 해야할까?",안정적인 직장생활을 위해 정규직 전환을 수락한다.,계약직을 연장하며 상황을 조금 더 지켜본다.,나의 건강과 육아와 살림의 우선순위를 고려해 일을 그만둔다.,"보람은 있었지만, 육아와 살림을 병행하기엔 너무 벅찼다. 일과 가정 사이에서 늘 양보가 필요했다.","정규직은 불안했지만, 유연한 근무로 일상은 유지됐다. 시간은 벌었지만, 불안도 여전했다.","많은 고민 끝에 내린 결정이었다. 죄책감도 있었지만, 지금 이 선택이 아이들과 나에겐 더 맞다고 믿는다.",-2,0,-1,2,-1,0
